overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-2,82,84,1,243715
3,89,86,1,246669
-2,81,83,5,202652
1,90,89,9,209331
-2,86,88,10,210257
-2,86,88,11,212198
-2,82,84,11,226753
-3,81,84,11,231677
3,88,85,13,186345
-2,82,84,18,240091
1,91,90,21,202126
2,89,87,21,212622
-2,81,83,22,188350
-1,83,84,22,212194
2,89,87,22,235073
-1,82,83,32,210324
3,89,86,44,224232
-1,82,83,45,246430
2,89,87,47,215698
-1,86,87,73,230621
1,92,91,73,231747
-1,82,83,234,183898
-1,83,84,240,193747
-2,82,84,240,201153
-1,82,83,240,216460
2,88,86,241,186942
-1,89,90,241,188545
3,89,86,243,182521
-1,82,83,326,180930
2,88,86,605,223848
1,91,90,607,165153
-1,85,86,112139,20801
-1,84,85,112139,212218
3,89,86,112387,204485
-1,83,84,114912,192505
2,88,86,114912,211110
3,90,87,116009,245802
1,91,90,116010,227125
-2,82,84,116010,258310
-2,82,84,116011,265252
3,89,86,116017,240714
3,89,86,116017,257008
2,91,89,116033,227310
1,90,89,116033,227361
2,88,86,116033,231432
-1,87,88,116033,245956
2,90,88,116034,246272
1,91,90,116325,227102
1,89,88,116325,237289
-2,81,83,116365,210406
