overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
1,90,89,9,209331
2,91,89,9,212831
-2,86,88,10,210257
1,89,88,10,218667
-2,87,89,10,239818
-2,85,87,11,212198
-1,84,85,13,186345
3,90,87,18,200104
-3,84,87,21,167495
-2,88,90,21,202126
-3,82,85,21,209658
-3,84,87,21,212622
-3,82,85,21,213345
-2,84,86,21,222492
-2,82,84,22,178603
-2,83,85,32,210035
3,89,86,32,256630
3,88,85,44,208128
2,89,87,44,231478
2,89,87,47,215698
-2,83,85,47,232656
-1,83,84,47,232756
-2,89,91,73,231747
1,89,88,240,194765
2,88,86,241,186942
2,89,87,241,228702
-2,83,85,241,241486
-2,84,86,241,253163
2,89,87,243,177003
2,88,86,243,182521
3,88,85,243,243812
2,89,87,243,252371
-2,84,86,607,215914
2,88,86,112139,20801
2,88,86,112139,208722
3,89,86,112387,204485
-1,84,85,115841,192387
-2,82,84,115841,198706
-2,85,87,115998,241846
2,89,87,116009,245802
-1,89,90,116010,227125
3,89,86,116012,247504
-1,84,85,116015,235657
-2,83,85,116017,246219
3,89,86,116017,257008
1,90,89,116033,227310
3,91,88,116033,227316
2,88,86,116034,233662
1,91,90,116325,227102
-2,84,86,116365,247635
