overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
2,89,87,1,222665
3,89,86,1,234378
-2,81,83,9,242516
1,89,88,10,218667
2,91,89,10,231866
3,89,86,10,237692
-1,90,91,10,239085
1,88,87,11,200145
-2,81,83,11,201535
2,89,87,11,212198
2,89,87,18,200104
-1,83,84,18,240091
2,89,87,21,167495
-2,81,83,21,189596
-2,88,90,21,202126
-2,83,85,21,209658
-3,84,87,21,212622
-2,82,84,21,237086
2,88,86,32,210035
1,88,87,32,256630
-1,82,83,44,226851
-2,86,88,44,231478
-1,83,84,45,246430
-1,82,83,47,178509
-2,82,84,47,226754
-2,82,84,73,220814
3,90,87,73,230621
-2,89,91,73,231747
-2,82,84,73,235212
-2,81,83,73,237679
-2,81,83,234,216547
2,90,88,240,200389
2,88,86,241,210514
2,91,89,243,238794
-2,86,88,243,252371
-3,81,84,457,227127
-1,82,83,483,208093
2,88,86,605,223848
3,93,90,112893,158023
3,89,86,114912,211110
-2,82,84,116009,227110
3,90,87,116009,245802
3,89,86,116009,245872
3,88,85,116009,265239
1,89,88,116010,227323
-1,85,86,116012,247504
-1,82,83,116012,265275
2,88,86,116017,246219
3,89,86,116017,257008
1,90,89,116033,227310
