overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-1,86,87,18,200104
-1,84,85,18,220697
-1,83,84,18,240091
3,90,87,21,167495
1,91,90,21,202126
3,90,87,32,256630
2,88,86,44,208128
-1,85,86,44,224232
-1,82,83,44,226851
1,89,88,44,231478
2,88,86,45,186153
-2,82,84,45,235805
-1,83,84,45,246430
2,89,87,47,215698
-1,83,84,47,232756
2,93,91,73,231747
-2,86,88,240,194765
-1,87,88,240,200389
-2,82,84,240,201153
-3,81,84,240,212616
2,92,90,241,188545
2,91,89,243,238794
2,90,88,243,239053
-1,83,84,243,241637
-1,82,83,110062,228813
-1,83,84,114912,192505
-3,82,85,115998,226375
-2,82,84,115998,227337
-2,85,87,115998,241846
-3,82,85,115998,247789
-1,85,86,115998,248717
3,90,87,116009,245802
3,89,86,116009,245872
-1,83,84,116009,265242
3,88,85,116010,227392
-3,83,86,116012,247504
-2,84,86,116017,246219
3,89,86,116017,257008
2,90,88,116033,245956
2,88,86,116034,233662
2,88,86,116034,237197
4,88,84,116306,238212
-1,83,84,116311,227318
2,88,86,116325,227013
2,92,90,116325,227102
2,90,88,116325,227190
1,89,88,116325,237289
1,91,90,116325,241667
3,88,85,116325,253436
-1,84,85,116365,217870
