overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
1,92,91,10,192985
1,92,91,10,239085
1,90,89,10,239818
3,90,87,11,212198
-1,86,87,18,200104
1,91,90,21,202126
3,88,85,21,209658
3,90,87,21,212622
2,89,87,22,235073
2,89,87,32,256630
2,88,86,44,208128
2,88,86,44,224232
-2,86,88,44,231478
-2,84,86,45,186153
-1,86,87,47,215698
-2,84,86,47,241721
-1,87,88,240,200389
-2,84,86,241,186942
-1,89,90,241,188545
-2,87,89,241,192448
-3,83,86,241,210514
-2,85,87,241,228702
-2,84,86,241,251854
-2,84,86,241,253163
-2,85,87,243,182521
-2,84,86,243,205452
1,90,89,243,238794
-1,84,85,243,243812
2,90,88,243,252371
-1,84,85,448,230869
1,89,88,607,165153
3,93,90,112893,158023
1,89,88,115998,226302
-1,84,85,115998,247789
3,90,87,116009,245802
-1,85,86,116012,247504
-1,84,85,116015,235657
3,89,86,116017,257008
2,90,88,116033,227316
1,90,89,116033,227361
3,89,86,116033,265674
-2,84,86,116034,233662
1,89,88,116034,246272
-1,84,85,116035,246641
1,90,89,116302,264012
3,89,86,116325,227013
2,93,91,116325,227203
-1,84,85,116365,217870
-1,86,87,116365,232293
-2,84,86,116365,247635
