overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
3,78,75,687,241907
2,81,79,691,210930
-2,70,72,693,211826
-2,73,75,694,234777
-2,71,73,697,205726
-2,70,72,697,233169
-2,73,75,697,241162
3,81,78,698,156519
4,79,75,698,220715
3,80,77,101112,208919
3,79,76,111140,234505
-2,72,74,111928,248231
2,79,77,112134,216939
5,78,73,112606,256136
2,86,84,112893,176580
1,83,82,112893,189332
3,86,83,112893,189511
-3,71,74,112893,269622
-2,78,80,112996,225951
2,80,78,113018,189117
4,78,74,113018,233125
3,83,80,114162,210021
-3,75,78,116300,227404
-1,80,81,116300,266549
-2,72,74,116300,267206
2,86,84,116302,226177
-2,78,80,116302,227387
1,90,89,116302,264012
-2,73,75,116303,245833
-2,76,78,116303,267376
-2,74,76,116304,236642
1,83,82,116304,241545
3,87,84,116304,266928
2,86,84,116306,238212
-4,80,84,116306,267275
-2,77,79,116308,267281
-2,78,80,116308,267321
2,80,78,116308,267384
-3,73,76,116309,267254
-2,80,82,116309,267339
2,79,77,116310,226350
2,89,87,116310,232075
-1,79,80,116310,244045
1,82,81,116311,226316
-2,72,74,116311,267202
-1,81,82,116312,227113
2,87,85,116312,237673
-3,70,73,116312,267378
1,82,81,116312,267382
-2,75,77,116312,272114
